0 1 2 
2 3 0 
4 5 37 
37 38 70 
70 71 103 
103 104 136 
136 137 169 
169 170 202 
202 203 235 
235 236 268 
268 269 301 
301 302 334 
334 335 367 
367 368 400 
400 401 433 
433 434 466 
466 467 499 
499 500 532 
532 533 565 
565 566 598 
598 599 631 
631 632 664 
664 665 697 
697 698 730 
730 731 763 
763 764 796 
796 797 829 
829 830 862 
862 863 895 
895 896 928 
928 929 961 
961 962 994 
994 995 1027 
1027 1028 1060 
5 6 38 
38 37 5 
38 39 71 
71 70 38 
71 72 104 
104 103 71 
104 105 137 
137 136 104 
137 138 170 
170 169 137 
170 171 203 
203 202 170 
203 204 236 
236 235 203 
236 237 269 
269 268 236 
269 270 302 
302 301 269 
302 303 335 
335 334 302 
335 336 368 
368 367 335 
368 369 401 
401 400 368 
401 402 434 
434 433 401 
434 435 467 
467 466 434 
467 468 500 
500 499 467 
500 501 533 
533 532 500 
533 534 566 
566 565 533 
566 567 599 
599 598 566 
599 600 632 
632 631 599 
632 633 665 
665 664 632 
665 666 698 
698 697 665 
698 699 731 
731 730 698 
731 732 764 
764 763 731 
764 765 797 
797 796 764 
797 798 830 
830 829 797 
830 831 863 
863 862 830 
863 864 896 
896 895 863 
896 897 929 
929 928 896 
929 930 962 
962 961 929 
962 963 995 
995 994 962 
995 996 1028 
1028 1027 995 
1028 1029 1061 
1061 1060 1028 
6 7 39 
39 38 6 
39 40 72 
72 71 39 
72 73 105 
105 104 72 
105 106 138 
138 137 105 
138 139 171 
171 170 138 
171 172 204 
204 203 171 
204 205 237 
237 236 204 
237 238 270 
270 269 237 
270 271 303 
303 302 270 
303 304 336 
336 335 303 
336 337 369 
369 368 336 
369 370 402 
402 401 369 
402 403 435 
435 434 402 
435 436 468 
468 467 435 
468 469 501 
501 500 468 
501 502 534 
534 533 501 
534 535 567 
567 566 534 
567 568 600 
600 599 567 
600 601 633 
633 632 600 
633 634 666 
666 665 633 
666 667 699 
699 698 666 
699 700 732 
732 731 699 
732 733 765 
765 764 732 
765 766 798 
798 797 765 
798 799 831 
831 830 798 
831 832 864 
864 863 831 
864 865 897 
897 896 864 
897 898 930 
930 929 897 
930 931 963 
963 962 930 
963 964 996 
996 995 963 
996 997 1029 
1029 1028 996 
1029 1030 1062 
1062 1061 1029 
7 8 40 
40 39 7 
40 41 73 
73 72 40 
73 74 106 
106 105 73 
106 107 139 
139 138 106 
139 140 172 
172 171 139 
172 173 205 
205 204 172 
205 206 238 
238 237 205 
238 239 271 
271 270 238 
271 272 304 
304 303 271 
304 305 337 
337 336 304 
337 338 370 
370 369 337 
370 371 403 
403 402 370 
403 404 436 
436 435 403 
436 437 469 
469 468 436 
469 470 502 
502 501 469 
502 503 535 
535 534 502 
535 536 568 
568 567 535 
